title,performer
Mohan: A Partition Story,Niall Moorjani in association with Jasmine Cole Productions
Monster Made,Strickland Scenic Adventure / Alex van Ric / Astrid Gutscher
Morning Sauna Rave,Sauna Sessions Arts Club
"A Morning ""Tease"" Break with Queenie",The Palimpsisters
More Myself Than I Am,Talking Shadows Theatre
Morna Burdon: Bonnie Fechters,Morna Burdon
Morna Burdon: Gie's Peace,Morna Burdon
Morna Burdon: The Sound of My Own Voice,Morna Burdon
Mortal Sin,Benjamin Reilly
Most of My Moms Are Gay,Abby Goldfarb
Moth and Dog Are Dying to Get Out,STAAT Productions
"Mother, Maiden and Crone","Mother, Maiden and Crone Productions"
The Mothman Cometh,Whisper Theatre
Motorway,Daniel Cuckow and Abigail Sinclair
Mr Bergmann of Deadman's Point,Nth Degree Productions
Mrs Gary Breath,Blue Book Artist Management
Mrs Macbeth,Susanna Hamnett
Mrs Stern Wanders the Prussian State Library,"Luna Stage, Richard Jordan Productions in association with Traverse Theatre"
"Mummy’s Dead, Long Live Mummy!",Koël Purie Rinchet Mic
Murder at the Fringe 2,Edinburgh Little Theatre
My Beautiful Brain!,Hannah Rose Curtis
My Dead Mum's AI Boyfriend,Sali Adams
My Grandpa Doesn't Follow Me On Instagram,Yoz Mensch
My Life Is a Sonnet,Eric Weiner Inc. in association with Fringe Management LLC
"My Oh My, Mr Dream",Melody of Kin
My Screaming Pomegranates,Jingle Jiang
Mysteries of the Picts,Sauna Sessions Arts Club
The Mysterious Seelie Wight Women,Rag Curtain Theatre
Mythos: Ragnarök,Mythos Ragnarök
Naked SARA!,Deadword Theatre Company
A Nation Divided,Transforum Theatre
Nesting,Trolley Problem
Never Let Go: An Unauthorised Retelling of James Cameron's Titanic,Michael Kinnan
Never Not Murder,Salas Productions
The New Year,No Shoelaces Productions
The Next Chapter,Mermaids at the Fringe
The Night Ali Died,Raising Cain Productions
Night Falls on Burma,Issyman Productions in association with Forces at the Fringe
Night of the Fox,Aquila Youth Theatre
No Hard Felix,Egg Smash Productions
No Man's,Catawba College
No One Dies... Probably,Discount Disconnect
(No) Refunds,For the Fun
Nocturnal Is The New Sexy,By Esme Sharpington
NON HUMAN ANIMAL,Kat Woods
Nose Country for Old Men,"Mr Hollywood (New York, USA)"
Nosejob,Heads on Crooked
Not There Yet,Reynard Theatre
Noted,The Back Pack
Notes from a Narcissistic Negro and Other N Words,Elizabeth June and Theatre Beyond Broadway
Nothing Personal,Ally Ryan
Nude,Bacchanalia
Nude Parade (WIP),Creepy Boys
Numbers,City Youth Theatre
Nuns!,Dog Complex Theatre
"O Brave New World, That Has Such People In’t!",Mulberry Theatre Company
"Obsessive, Compulsive, Divine",Cambridge University Amateur Dramatic Club
An Ode to the Casting Director,Sophie Fisher
Of Mice And Men,Fringe Management
Off Script,Joanna Orlowska
Offgridland,Paul Richards / Shoulder Cat Productions
Olympic Hopefuls,in vivo Productions
Omaha,GP Productions
Once Upon a Wall Street,Ines Wurth Presents
One Hour Wedding,R and R Productions
One House on Brick Lane,Mulberry Theatre Company
One Hundred Voices,National Theatre of Scotland
One Man Poe: The Black Cat and The Raven,Threedumb Theatre
One Man Poe: The Business Man and The Case of M. Valdemar,Threedumb Theatre
One Man Poe: The Tell-Tale Heart and The Pit and the Pendulum,Threedumb Theatre
One Million Words,Ivo Müller and Blau Produções
One More Time,Angel Chan
A One-Woman Titanic Parody in 59 Minutes or Less,Bikini Katie Productions
Only Fans for Therapy,Verona Verbakel
The Only Man Who Won't F*ck Me,Catherine Taaffe Productions
Opening: A Dessert Place,NCUHS Drama Company
Operation Blank,George Grant
Operation Market Garden,Inspired Theatre
Operotica: Lovers in Every Lifetime,Operotica
An Opportunity in Kind,The Optimiserables
The Orchardist,Magdalen College School Drama
Ostrich,Pink Palace Productions
The Ostrich Principle,Kirsten Milliken / David Hughes
Othello,Prague Shakespeare Company
Otuz Bir,Nar Tiyatro Company
Our Martin in the Background,Mark Kydd
Our Other Organ,NoLands / Part of #DANISH
Our Town Needs A Nando's,Hot Mess Productions
Overtone,A North Wall production presented in association with Humphrey Battcock
Paddy Hill: Inside Out,Conor McClean
Padlocked!,Zinc Simian
"Paint, Vincent, Paint",Coffey Cup Theatre
The Painted Revolutionary,Tip Top Theatre Collective
Painting the Roses Red,Kalopsia Theatre
Pajama Talks,Ad Astra Productions
Paper Cuts (and other small tragedies),Emma and Evie Productions
Parasocial Activity,Gallus and Silly Mission Productions
[Parent]ified,Edinburgh Rep
Paris in a Jazz Age: The Memoirs of Eloise Defleur,The Hot Jazz Vagabonds
Parkies,Honey Badger Productions / Kerr Arts Collective
The Passion,The LAMPS Collective
Patient 13,Gail Thomas / Rhymes with Purple
Paywall,Neysa Killeen
A Pebble in the Road,Simon Stokes and Ingeborga Dapkunaite
Pecking Order,Double Edge Drama
Peggy Day,Double Edge Drama
The People in Our Lives,Jack Palmer
Persona,Namesake Theatre
Perudo,Marmalade Orbit Productions
Pews at Ten,Novem Ensemble
Phuckets and Rainbows,Lizzie Bean
Pierrepoint: The People's Hangman,No Frills Theatre Company
The Pigeon Factory,Oh!Scare Wilde Productions
Pigeon Syndrome,Broadly Speaking Productions
Pilate: The Lost Gospel,Written by Michael Punter featuring Maxwell Caulfield
Pilgrims,City Lit Drama
Pimm's Without the Cucumber,Lucas Kad
Pink Dolphin,Ashley McLean
Pink Rabbit,"Farah Ashraf, Mimi Martin and NAZAR ARTS"
Pip Utton's Farewell to Edinburgh Fringe: Bacon,Pip Utton
"Pip Utton's Farewell to Edinburgh Fringe: Before I Forget I Love You, I Love You",Pip Utton
Pip Utton's Farewell to Edinburgh Fringe: Hunchback of Notre Dames,Pip Utton
The Pitch,"Moya Jane Productions, Lyric Belfast and Pleasance"
"Planet of the Grapes – An Epic, Tabletop, Sci-Fi Adventure!","Peter Michael Marino for PM2 Entertainment, Richard Jordan Productions, Pleasance"
Plano,Edinburgh Graduate Theatre Group
Play Dead,Betyl Theatre
A Play on Words,Twilight Theatre Company
Playback,Euan Munro
Playlist,St Xavier High School
Plaything,Isabella Thompson
The Plot,theatregoose
The Pod,MM – Jon Betti and Gergana Galabova
The Poetical Life of Philomena McGuinness,Moon Rabbit Theatre
Portraits of Americana,APU Theater Arts
The Postcode Lottery,Bear-Faced Liars
The Powerpop Girls: A New Diva Religion,Locked In Thought Theatre Company
Primal Scream,Ines Wurth Presents
PrimeTime,Theatre with Teeth
The Problem,Twilight Theatre Company
The Problem With Kate Winslet's Dress,Switch Theatre in association with Centre Stage Theatre Company
Propaganda,Lund
Prophets,Jack MacGregor
The Proposal,Stirling University Drama Society (SUDS)
A Public Display of Affection,Jonathan Wilson / Rhymes with Purple
Punching Judy,SkinnedTeeth
Puttana,TeatroE ETS
Putting the Ass in Brass,Four Headed Dragon
Pyg,Sandcastles Productions
QFWFQ,"Gregory Nussen, Daniel Segura and Suzanna Rosenthal Productions"
Queen of The Empire,Sasha Snowdon
A Queen's Way,Napier University Drama Society
A Queer Little Murder,Savannah Hankinson
The Quiet Between,The Working Actor
Quinn’s Abyss,KQ-HQ (USA/UK)
R J: The Lost Children of Verona,The Barstow School Theatre Program
"Racists, Recessions and Revolutions",DBN Productions
Rattlepole! An Improv Shakespeare Show,Rattlepole!
Raves R Us,Naughty Corner Productions
Reaching The C,Ursula Leveaux
Rebellious Women,King's Company
The Red Shoes,Shiplake College
REDACTED: The Cover-Up of a Cover-Up of a Cover-Up,Voloz Collective
Reel to Real,Bedazzle Inclusive Productions
Reformer,Eddie Thornton
The RemAIns of the Butler,Mike McAlpine / Free Festival
"Remember, Remember!",WIT? Theatre Company and Pleasance
Reparations,Maryam Garad and Pleasance
Return to the Hiding Place,Searchlight Theatre Company
The Reunion,GaggleHouse (Scotland)
Rev Awdry: The Thomas the Tank Engine Man,Searchlight Theatre Company
Revelation,Los Angeles Theatre Initiative
Right before I go.,Feuille Dooley Productions
Rip Her to Shreds,Haston House
Robert Louis Stevenson: The Body Snatcher,Blue Orange Arts
Rockbeth,More The Merrier
Rockpools,Molly Windust
ROLEPLAY,Francesca Moody Productions and Global Creatures
Romeo and I,ToyHorse Theatre
Room 1219,Keystone Theatricals
ROOMIES,Julia Stephens
Roses To The Living,Pasuz Productions
Sabotage,Mayaswell Productions and Fool's House
Sacred Arts Festival Drama at St John’s Princes Street: Doctor Faustus,"Michael Daviot, Susan Chynoweth, Tim Barrow, Janet de Vigne"
Sad Bride,Charlotte Merriam
Safety,Light Mends Carefully
Salty Brine: HOW STRANGE IT IS (The Neutral Milk Hotel Show),The Living Record Collection and Soho Theatre
Sanctuary,Daniel Hinchliffe presents Jacob Sparrow's Debut Play
"Sarah McGuinness: Grit, Glitter and Gaslight",Dangerbag Productions
Sauna Sessions Arts Club – The Hottest Club in Town,Sauna Sessions Arts Club
Saving Britney,Fake Escape
Scaramouche Jones,Guy Masterson TTI in association with Passion Pit Theatre
A Seance Spectacular with the Mystical Medium Wolf Sisters from the Great White North,Ghosts Are Everywhere
See You Tomorrow,Beth Lindsey
The Séance Starter KitTM,Get Tae Collective
Searching for Robert Hennessey,Michael-Shaun Hennessey
The Seat of Me,Giulia A. Cryan
The Second Best School Shooting,Jessica Green Harrison / Matthew Lillard
Secrets Secrets Shhh!,Grumble Theatre
Seed,"Great Dayne Productions – Hollins University (Virginia, USA)"
Seeksaw,Pan Pan Collective
Seledka,Uliana Klimchuk and Lily Afghani
"Selkie: Past, Present, Future",Niall Moorjani / Ailsa Dixon
"Sex, Drugs and Conscious Souls",Cognitive Behavioural Theatre / PBH's Free Fringe
"Shadows, Mirrors, Echoes",Badminton School
Shakespeare Dice: As You Like It,Dacha Theatre
Shakespeare for Breakfast,C theatre
Shakespeare x 5,Hand Theatre
Shakespeare's Big Brother,Big Spirit Theatre Co
Shakespeare's Dead Dames,Academy of Expressive Arts (AEA Productions)
Shamaniac,Spirit Freak in association with Fringe Management and Walazama
Shatter Resistant,Isabelle Blanche
Sherlock Holmes: The Adventure of the Innsmouth Crown,Innsmouth Crown Productions
Sherlock Holmes: The Death and Life,Fringe Management
Sherlock Holmes: The Speckled Band,Blue Orange Arts
Shinjuku,Production Lines
Ships,Written by Mark Forrest /
The Shit Table,Don't Think Twice Theatre Company
Shotgunned,Kangaroo Court / Serpentine Productions
Silent Disco,Pique Theatre
A Simply Beastly Murder,Rachel E Thorn
Sims Holland: Learning to Human,Sims Holland
Sin-Eaters,Kent Place School
Sinatra: One Last Shot,Richard Shelton
The Singer,"Dundee Rep Theatre, Solar Bear collaborating with Aberdeen Performing Arts"
SINNER. A Musical Tragicomedy About Breaking Up With White Jesus,Marla Torgerson
The Sins of the Father,Cat Isaacs
Sire and Madge,Edinburgh University Theatre Company / Kitty Milk Theatre
Sissy Boy,Jake Bickford
Sister Sophia Kicks the Habit,The Universe Over 60
Sisters of the Seas,Acting Coach Scotland
Sitting (In Silence),Terracotta Productions
The Skarsgård Effect,Ellen Eklund
SLAY,Gilded Balloon
SLAYERS by Corinne Salisbury,RUPTURE
Slim for Life,Thirsty Theatre
Slugs,Patrick Bone Productions
Smile: The Charlie Chaplin Story,Marcel Cole
Soaked,"La'al Marra Productions, sponsored by Tidy Productions"
Sobremesa,Table 61 Productions
"Somewhere, In Between: A Play About Hope",Theatre for a Cause Geneva
Sonder,Queen Mary's Theatre Company
Space Cadet,Isabella Pettite
Spare Room,Blue Duck Theatre Company
The Speakeasy Experience,Pickering's Gin
The Spectacular Vermin Sisters: Taking Back What's Ratfully Ours,The Gorman Sisters
Spider Witches of Appalachia,Jenna Baer / PBH's Free Fringe
Spin Cycle,Berserk Theatre
SpinQueenTM,Megatron Inc
Spinster,Wildcard Stories
The Spy Network,Shooting Fish Theatre Company
Stand Up If You're Here Tonight,Rocking Chair Test Productions Presents The Huntington's Production
Stanislavski Can't Save Me From The Apocalypse,Living Room Productions
Star Vehicle,Created and performed by Giuliana Mancini
STAY,Ines Wurth Presents
Stay A Little Longer,Tom Foreman Productions
Stayin' Alive,"Victoria Oxley, One Madam Productions"
Steak Out,Ruaraidh Murray
Steve Burns: Alive,Benson Drive Productions
Strange Face: Adventures with a Lost Nick Drake Recording... The Story Continues,Michael Burdett
Sublimation,"Written and performed by Frank Murdocco, presented by Junto Entertainment"
The Subplot: A Hyperfixation on the Titan Submersible,Sophie Smyth and Quiet Riot
SUCCUBUS,Georgina Collins presented by Halfway Productions
Suitcase Show,Trick of the Light Theatre
Supposing...,Traverse Theatre Company
Surreally Good,Scott Turnbull
Swan Song,Jilted Bride Productions
Sweet,Edinburgh Graduate Theatre Group
Take Care,Late Shift Theatre
Taken,Talking Shadows
The Tale of the Original Jekyll and Hyde (Told by a Mad Hatter from Stockport),Tall History Tales
"The Tamer Tamed or, The Woman's Prize",Necessary Cat Limited
The Taming of the Shrew,Necessary Cat Limited
The Tao of Lloyd,Guy Masterson – TTI presents Dennis Trainor
Tap Out! (Or I'll Hit You Again),Croft & Dye Productions
Target Audience,Dan Bishop in association with Pleasance
Teen Spirit,Blackstar Productions
Temi Wilkey: Lover Girl,Soho Theatre in association with Bobby Harding
Ten Ways to Die Happy,"Sisifo Production, ERT – Emilia Romagna Teatro and Emanuele Aldrovandi"
Tenderly: The Life and Times of Nat King Cole,Duane Forrest Productions
Tether,Wonder Fools
That's Ace,Ray Productions
That's Why Mums Go to Switzerland,Clothes Line Productions
"Therapy ""R"" Us","Adrienne E. Foran, d-composing Ink"
There Was A Time,David Hanson
Thermodrama,Lovelock Productions
They're Just Small Town (Northern) Lads,Nathan Jonathan
Third Party,Brighter Dark Theatre
This Is How I Got Arrested...,Azaelia Slade and SLADE Productions
THIS IS NOT AMERICA: A Razor-Edge New Play To Start Your Day!,"Richard Jordan Productions and 412, Lawrence Batley Theatre, Pleasance"
This Is Not Hansel and Gretel,Christian Hege / PBH's Free Fringe
This Play Shouldn't Exist (and I Was Supposed to Be on Holiday),Tim Honnef / Jonas Müller
This Year I Am Going To Die,Turtle Hellion Production Company
"Three by Samuel Beckett – Not I, Eh Joe, Rockaby","Luciann Lajoie, Timothy McCracken; Blackbox Productions, McSquared"
The Three Marias,Voices Collective Company
Through the Shortbread Tin,National Theatre of Scotland
Thunderstruck,David Colvin
Tim Kenneth Kicks the Bucket,Kestrel Eye Productions
Tiny Planet,Half a String
Tit Talk,Naomi Johnson / PBH's Free Fringe
Titanic: The Last Hero and The Last Coward,Searchlight Theatre Company
TO BE FRANK,Michael Hockey / Charlotte Pleasants
To Do Lists,Rainy Day Theatre / Amy Lever
To My Wife's Next Lover,Dream Big Kid Productions
Toast,Jude Green
The Toe Poke,James Lowman
Tomatoes Tried to Kill Me but Banjos Saved My Life,Keith Alessi
Top GRRL! Pay Him to Peg You,C:C / PBH's Free Fringe
Top Gunchained,Seabright Live presents Richard Marsh directed by Hal Chambers
Trainspotting Live,King's Head and In Your Face presented by Seabright Live
A Traitors Pantomime,MTAO Productions
Trans People Are Awful,Ros Watt in Association with Camden People's Theatre
Transmission,Nelly Kelly and Sanctuary Queer Arts
Transmission: Into the Dark,"one step at a time like this, Richard Jordan, Traverse"
Treasure Island,BB&N Theater
The Trials of Magnus Coffinkey,Give or Take Productions
Troubled Waters,Corinne Harragin
"Trust Me, I’m a Doctor",The Magazine Studio Theatre
Turn the Cloth,Cutty Sark Theatre
"Turn the Screw, Tickety-Boo",Faceless Theatre and New Celts Productions
Turn Your F*cking Phones Off,Hannah Maxwell
Twelve Angry Men,Tower House School
TWITCH,Breaking the Binary Theatre
Two Halves,Muddrag Productions
Two Little Pigs,Patrick Bone Productions
Ulysses of Scranton,Scranton Fringe Festival
Uncorked,Ripple Theatre
The Understudy,Eva Seymour
Unearthed,Plush Tiger Productions
The Unforeseen Annoyances of Intimacy,"Cecile Fayter, Daniel Golding, Joseph Hollas and Rachel Simm"
The Unknown Soldier,Grist to the Mill Productions
The Unsolvable Case of Keir Starmer,Chasing Rainbows
Until Hope Fades Away,Theater and Performing Arts Commission
Until Spring Comes,Theatre By Chance
The Unwilling Accomplice,Pigeon Patter Productions
The Upwards Journey of a Champagne Bubble,All is Pink Productions
A Vacuum at the Centre,University of Manchester Drama Society
The Vagina Monologues,Drama Works (Parker & Snell)
The Vampire of Rio,Haysam Ali
Van Gogh Me,Jack Ellis
Verona Nights,Brenau University
The Very Best of Tommy Cooper – Just Like That!,Daniel Taylor Productions
Very Funny,Fat and Dumb
Very Sad,Fat and Dumb
Very Cheap,Fat and Dumb
Via Dolorosa by David Hare,Gary Hay of Chasing Rainbows
